time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-04-27 09:30:00-04:00,MLTrader,79abe7f4c0b84e178c409463fc018eea,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,1060.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,a2373cda5c2a42afb7882b0fd403f211,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,a2373cda5c2a42afb7882b0fd403f211,SPY,sell,market,fill,1,gtc,0.0,1,stock,423.5899963378906,1585.0,0.0
2022-06-10 09:30:00-04:00,MLTrader,a2705530481040b8b24063e72d5bc173,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,MLTrader,a2705530481040b8b24063e72d5bc173,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,2550.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,f451a6bff90d48caaf606ea3910698f2,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,5d1e5f3886ed46eebc57c238dde9f746,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,f27944bdd73d4c70ab2b9c977556ab1a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,2aee3471aed94f7db4fcfefbc32893af,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,7e97633a56394afd8e91e43765bbe0f9,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,a40d07dffb3941ce81d3076d9bbb3df9,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,bf3331fb046044d480aea40ff41fc3e5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,66900c782a454827a4c9fd5268f8147f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,0de90e5597834b049e58519e0687ac67,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,cc2121b2dc3941a1b2df250276f2f61e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,72161d7ef6d44a048438cbbafcd2b1ab,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,1e9d0c9eca55422497b1c43f16f86687,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,2186c47ef4f04f39819ac6a482b56fc9,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,fcb95f81dc3b422f95f348e49dad680d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,2186c47ef4f04f39819ac6a482b56fc9,SPY,buy,market,fill,1,day,0.0,1,stock,387.2699890136719,6819.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,fcb95f81dc3b422f95f348e49dad680d,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,3900.0,0.0
2022-09-22 09:30:00-04:00,MLTrader,e845609260f141d6bd25aabf09927f78,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-22 09:30:00-04:00,MLTrader,c1ae85a802d44fee8841ce5a306a007c,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,3900.0,0.0
2022-09-27 09:30:00-04:00,MLTrader,a52f52c375e14de99565fb3d68b65fc6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-27 09:30:00-04:00,MLTrader,a52f52c375e14de99565fb3d68b65fc6,SPY,sell,market,fill,1,gtc,0.0,1,stock,364.3800048828125,418.0,0.0
2022-09-28 09:30:00-04:00,MLTrader,8a6f067d02c04fa8be8f7983d21348b1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,MLTrader,8a6f067d02c04fa8be8f7983d21348b1,SPY,sell,market,fill,1,gtc,0.0,1,stock,366.80999755859375,623.0,0.0
2022-10-24 08:30:00-04:00,MLTrader,9e0fe18797f94ff0842747294a850d86,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-24 08:30:00-04:00,MLTrader,57c3cd3be9d94f70a2fee25827e79516,SPY,buy,stop,fill,1,day,0.0,1,stock,382.59900512695316,418.0,0.0
2022-10-24 08:30:00-04:00,MLTrader,cd1eb3699891451099b6f62354b5e576,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-24 08:30:00-04:00,MLTrader,d32aebe4b0b7453d9ba53ac3bc8e8620,SPY,buy,stop,fill,1,day,0.0,1,stock,385.15049743652344,623.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,00cd2e3443514b7794fd5c0ae4e57b39,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,00cd2e3443514b7794fd5c0ae4e57b39,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,367.0,0.0
2023-02-01 09:30:00-05:00,MLTrader,e26c3fad94e545f98c95aa6c6c2e9cf4,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,5a810fe0e2914497a76b09354b7af644,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,367.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,e049046e1dc34933b6f12fd6ed540515,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,e049046e1dc34933b6f12fd6ed540515,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,339.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,c57f7b97566c4edf91f1cc99f25f6847,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,7b0fd348ae3648dcb08540d19291fca0,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,a0ce0e45591a45e6b433d95c17277c00,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,c38e33b9a06c437490386140fba0cbb0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,a0ce0e45591a45e6b433d95c17277c00,SPY,buy,market,fill,1,day,0.0,1,stock,428.44000244140625,339.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,c38e33b9a06c437490386140fba0cbb0,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,487.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,b43aa7dd0bc341d8af86d93a20daee61,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,1492211948fd43c3b8c1a4a79fe6f260,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,6394cfd34ed849b4997bb48451f32082,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,0541f02c6b474a3c9d45f731f75093d0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,6394cfd34ed849b4997bb48451f32082,SPY,sell,market,fill,1,day,0.0,1,stock,435.32000732421875,487.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,0541f02c6b474a3c9d45f731f75093d0,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.32000732421875,73.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,65f98e3e8b6449178d533c6a86f2aa74,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,65f98e3e8b6449178d533c6a86f2aa74,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.44000244140625,348.0,0.0
2023-07-26 09:30:00-04:00,MLTrader,01c79fabc5eb4dbcb90dcbab23bbf936,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-26 09:30:00-04:00,MLTrader,487b52c041764110b78ac1cc771fb0ce,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,73.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,d417a4e5bae04aa1b8bd2886754579d4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,d417a4e5bae04aa1b8bd2886754579d4,SPY,sell,market,fill,1,gtc,0.0,1,stock,453.25,472.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,4bc4da9fe74a4ee9a154bf97757fa62a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,4bc4da9fe74a4ee9a154bf97757fa62a,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,722.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,2271721aacda4112bf2b5efe5cf23ac6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,2271721aacda4112bf2b5efe5cf23ac6,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.17999267578125,1090.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,11f84d3852d84387a3bb15423c2640de,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,11f84d3852d84387a3bb15423c2640de,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,1621.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,959b8c15df564f299b68cb830c4b6248,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,959b8c15df564f299b68cb830c4b6248,SPY,sell,market,fill,1,gtc,0.0,1,stock,433.1400146484375,2498.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,d351d1d05da74d44be1b0ff993f7975f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,d351d1d05da74d44be1b0ff993f7975f,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,3695.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,a11134388b194e2e926619fefbab0f67,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,1ebd13c2e4dd46528da11f54b9de1e68,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
